ID,Title,Location,Salary,Summary
job_fd624aa400347c5d,Livestream Operations Manager - South Korea,,,"Talents for live-streaming section. 2. Build and maintain long- term relationship with MCN, agencies and influencers (KOLs). 3..."
job_b41e85e2ab2552bb,AWS Media Services AM,,,well as cultivating net new business • Develop long- term strategic relationships with key accounts and manage complex...
job_786f3d63cb18f26c,Head of Onshore Wind Project Development South Korea,,,Setting the strategy for South Korea and growing the long- term pipeline Managing a professional team and staying aligned...
job_d2b19e4cfb712a33,Head of Real Estate,,,"RE spaces for building of stores Create short, medium and long term deal pipeline for expansion of country operations Drive..."
job_b503a93f48475d62,TikTok Live Operations Leader,,,live streaming team for South Korea; - Making short term and long term strategy and plans for live streaming development...
job_a825d432af879511,Consultant - Capital Productivity,,,continuous improvement effort or developing short and long- term capability-building plans for all relevant levels of client...
sj_49b3ea6df98d1acc,[L'oreal Korea] E-Commerce Demand Planner,,,English Strong negotiations skills Ability to build a long- term sustainable strategy Advanced financial awareness is required...
job_6b03161b6193d830,Jr.Analyst,,,Long Range Plan to achieve company strategic goal in long term view · Frequent and continuous communication with business...
job_58f9128b82249c78,Paralegal 1,,,contract negotiations and drafting non-standard contractual term/language both in English and Korean. Support other members...
job_e10b21dd4c03ea8c,Korean to English Freelance Translators/Proofreaders/Editors...,,,looking for skilful freelancers to work with us for our long- term webcomic projects. Please find the details below. Roles...
job_6b2501599bf63f62,Associate HR Generalist,,,"two-year fixed- term employment contract with full benefits. Following successful completion... employment term, employees..."
job_f97b7d4c8ca86791,ME Budget & Headcount Controller,,,Job Description Mid- term budgeting process lead ME budget control collaborating with finance ME cost/headcount initiatives...
job_537762d2c5b65f3b,Programme Officer,,,commission of any... acts. The term “sexual exploitation” means any actual... conditions. The term “sexual harassment...
job_66b3fa7e0c4e3e2d,Sr Staff FAE,,,opp - Business strategy for mid/long- term biz expansion - Understanding FAE role... strategy for mid/long- term biz expansion...
job_46779b0912d8da55,Marketing Specialist for Immunology and Gastroenterology (1-...,,,"At Bristol Myers Squibb, we are inspired by a single vision – transforming patients’ lives through science. In oncology..."
job_ca01112f2d124b7e,E-Boutique Professional,,,platform & identify new opportunities - building strong & long term partnerships with operators to get analytics and customer...
job_5f6aa41eff27aacf,Strategic Business Partner,,,building capability... implications of short and long- term strategic decisions. Champion the company culture. Here...
job_502cdb027b47855c,"Data Analytics Sales Specialist, Enterprise, Google Cloud",,,"Data Analytics subject matter expert, influencing long- term strategic direction. Develop and execute strategic account plans..."
job_5b7b34fa0d818cb2,Associate PSR,,,calls or emails. Employee Status: Temporary (Fixed Term) Relocation: Domestic VISA Sponsorship: Travel Requirements...
job_192b9fd21ff95385,Airfreight Business Development Partner,,,"expectation and long- term relationship... development plan with short- and long- term business objectives, and initiatives..."
job_9e6f35f3bd13e57b,KERING Legal Assistant (Fixed-Term),,,Assistant (1yr Fixed- Term) Division... background. Job Type Fixed Term (Fixed Term) Start Date 2021-12-15 Schedule...
job_b69703c163179d10,Bilingual (Korean-English) Non-Voice Customer Support,,"시급 8,400원 - 9,000원","full-time... long- term work from home job. If you are looking... stable and long- term job, submit your proposal..."
job_24e1701d657edb00,Programme Officer,,,commission of any... acts. The term “sexual exploitation” means any actual... conditions. The term “sexual harassment...
job_9889e1259c7aeb45,ASSOCIATE ENVIRONMENTAL AFFAIRS OFFICER,,,commission of any... acts. The term “sexual exploitation” means any actual... conditions. The term “sexual harassment...
job_9d8b092888a97bfe,Executive Assistant,,,ad hoc support when needed We are proud to have a long- term bonding with our employees: More than 30% of our employees have...
job_cbf634d3764c09d2,Field Service Channel Sales,,,handling tactical items while keeping sight of longer term strategic goals Strong collaborative skills to work across...
job_4c0722b015542e6e,CIB - Sales & Marketing - Investor Access - 1 Year Fixed Ter...,,,"drives everything we do. We strive to build trusted, long- term partnerships to help our clients achieve... business..."
job_c89d8f172a7a5607,[Janssen] Health Care Compliance Specialist,,,2. 계열사: 한국얀센 (Janssen) 3. 근무지: 서울시 용산구 4. 근무 형태: Fixed Term [Summary] Implements the Health Care Compliance (HCC) program...
job_38c7b100fc9d0293,"CIB - Equity Capital Markets - Origination Assistant, 6 mont...",,,"drives everything we do. We strive to build trusted, long- term partnerships to help our clients achieve... business..."
job_a9b90a7d08e03905,"Manager, Studio Strategy & Analysis",,,"making and timely execution Develop country-level long- term studio strategies, facilities, and resource plans and support..."
job_f89ee17456fc7153,"Asset Management, Assistant, Seoul",,,around the world... dedicated partnership and focus on long- term performance. As primary investment area within Goldman...
job_8431ae82f2f68208,Renewable Energy Analyst,,,"Forecasting long- term resource using... data; Development of annual and long term solar energy assessments, using various..."
job_cff5556e269a57a0,Sales Associate (현대 코엑스),,,mindset is core to our business and key to our long- term success. JOB PURPOSE 개인 및 매장 판매 목표를 초과 달성하기 위해 노력하고 소매점 주도 성장의 주요...
job_3ec2e8173405e407,Solution Area Specialist,,,influence long- term strategic direction... Articulates business value and long- term implications for customer business...
job_593f64e69451d752,"CIB - Payments - Client Service Officer, 20 months fixed-ter...",,,"note... role is a 20 months fixed- term contract starting from June 2022 J.P... build trusted, long- term partnerships..."
job_d2797488f8e68220,"Accelerated Growth Consultant, Google Customer Solutions (En...",,,"Google Ads investment through sustainable and long- term strategies... role, you will work as a specialist to drive..."
job_0ab807ae683b66f8,"Agency Development Manager, Google Customer Solutions (Engli...",,,"Manager, you'll focus on growing long- term relationships with managed traditional... data-driven long- term agency plans..."
job_a00a9795f0bd314a,University and Careers Counsellor,,,fit; including at times of official results release outside of term dates... familiar with application processes...
job_d42616e67c7cadae,"Payments Compliance Officer, Finance (English, Korean)",,,"risks... name Google came from ""googol,"" a mathematical term... number 1 followed by 100 zeros. And nobody at Google..."
job_0820a9a56f2ea3f0,PointNext Business Operation,,,partners with cross-functional teams to develop short- term (typically less than two years) business plans and supporting data...
job_b437dbf9f57c9723,C.S.Representative I,,,"책임감과 성실성 전화를 통한 고객 응대, 상담 경력 필수 We are proud to have a long- term bonding with our employees: More than 30% of our employees..."
